"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mai 05","25.207","24.847","25.808","23.680","2,24B","1,46%"
"Abr 05","24.844","26.612","27.178","24.154","2,55B","-6,64%"
"Mar 05","26.611","28.135","29.584","25.761","2,78B","-5,43%"
"Fev 05","28.139","24.392","28.778","24.073","2,32B","15,55%"
"Jan 05","24.353","26.193","26.492","23.534","2,34B","-7,04%"
"Dez 04","26.196","25.129","26.270","24.452","6,91B","4,25%"
"Nov 04","25.128","23.050","25.160","22.941","5,29B","9,01%"
"Out 04","23.052","23.246","24.362","22.390","4,16B","-0,83%"
"Set 04","23.245","22.803","23.485","21.739","4,95B","1,94%"
"Ago 04","22.803","22.342","23.381","21.178","5,41B","2,09%"
"Jul 04","22.337","21.152","22.676","20.821","5,29B","5,62%"
"Jun 04","21.149","19.545","21.183","19.177","5,34B","8,21%"
"Mai 04","19.545","19.622","20.342","17.601","7,13B","-0,32%"
"Abr 04","19.607","22.142","23.260","19.508","6,51B","-11,45%"
"Mar 04","22.142","21.761","23.373","20.756","7,35B","1,78%"
"Fev 04","21.755","21.842","23.374","20.092","6,29B","-0,44%"
"Jan 04","21.851","22.233","24.518","21.649","8,28B","-1,73%"
"Dez 03","22.236","20.184","22.310","20.184","6,87B","10,17%"
"Nov 03","20.184","17.983","20.188","17.983","6,40B","12,24%"
"Out 03","17.982","16.010","18.660","16.010","8,46B","12,32%"
"Set 03","16.011","15.174","17.104","15.075","7,98B","5,51%"
"Ago 03","15.174","13.579","15.252","12.757","6,49B","11,81%"
"Jul 03","13.572","12.967","13.947","12.893","5,06B","4,62%"
"Jun 03","12.973","13.441","14.072","12.895","6,41B","-3,35%"
"Mai 03","13.422","12.565","13.565","12.542","7,09B","6,89%"
"Abr 03","12.557","11.283","12.820","11.283","7,24B","11,38%"
"Mar 03","11.274","10.263","11.421","10.104","5,27B","9,66%"
"Fev 03","10.281","10.943","11.067","9.968","5,12B","-6,04%"
"Jan 03","10.941","11.291","12.350","10.457","7,17B","-2,91%"
"Dez 02","11.268","10.517","11.648","10.307","6,16B","7,23%"
"Nov 02","10.509","10.172","10.519","9.569","5,41B","3,35%"
"Out 02","10.168","8.642","10.241","8.225","7,06B","17,92%"
"Set 02","8.623","10.383","10.477","8.352","5,25B","-16,95%"
"Ago 02","10.382","9.782","10.604","9.017","7,78B","6,35%"
"Jul 02","9.763","11.138","11.173","9.155","6,05B","-12,36%"
"Jun 02","11.139","12.859","12.919","10.247","5,02B","-13,39%"
"Mai 02","12.861","13.088","13.090","11.943","5,00B","-1,71%"
"Abr 02","13.085","13.253","13.872","13.032","5,05B","-1,28%"
"Mar 02","13.255","14.047","14.495","13.183","5,01B","-5,55%"
"Fev 02","14.033","12.723","14.251","12.415","4,22B","10,31%"
"Jan 02","12.721","13.586","14.413","12.301","5,18B","-6,31%"
"Dez 01","13.578","12.914","13.969","12.809","5,29B","4,99%"
"Nov 01","12.932","11.362","13.791","11.177","5,96B","13,79%"
"Out 01","11.365","10.633","11.924","9.985","5,00B","6,85%"
"Set 01","10.636","12.849","12.947","9.533","5,02B","-17,17%"
"Ago 01","12.841","13.757","14.143","12.681","3,93B","-6,64%"
"Jul 01","13.754","14.579","14.771","13.361","3,62B","-5,53%"
"Jun 01","14.560","14.654","15.644","14.164","4,35B","-0,62%"
"Mai 01","14.650","14.877","15.304","14.056","5,94B","-1,79%"
"Abr 01","14.918","14.441","15.267","13.325","4,65B","3,32%"
"Mar 01","14.438","15.891","16.813","13.761","4,45B","-9,14%"
"Fev 01","15.891","17.670","17.673","15.558","3,44B","-10,08%"
"Jan 01","17.673","15.242","18.023","15.174","6,63B","15,82%"
"Dez 00","15.259","13.303","15.415","13.242","3,94B","14,84%"
"Nov 00","13.287","14.858","15.191","13.287","3,22B","-10,63%"
"Out 00","14.867","15.950","16.404","13.571","4,69B","-6,66%"
"Set 00","15.928","17.360","17.716","15.657","4,74B","-8,18%"
"Ago 00","17.347","16.475","17.926","16.073","6,16B","5,42%"
"Jul 00","16.455","16.747","17.795","16.390","4,15B","-1,63%"
"Jun 00","16.728","14.967","17.396","14.967","4,76B","11,84%"
"Mai 00","14.957","15.596","15.944","13.556","6,27B","-3,74%"
"Abr 00","15.538","17.826","17.826","14.029","11,65B","-12,81%"
"Mar 00","17.820","17.668","19.047","16.922","13,61B","0,91%"
"Fev 00","17.660","16.389","18.886","16.389","12,22B","7,76%"
"Jan 00","16.388","17.098","18.099","15.350","11,01B","-4,12%"
"Dez 99","17.092","13.784","17.105","13.556","13,31B","24,04%"
"Nov 99","13.779","11.701","14.054","11.685","12,61B","17,77%"
"Out 99","11.700","11.105","11.826","10.796","10,69B","5,35%"
"Set 99","11.106","10.583","11.735","10.583","13,67B","5,12%"
"Ago 99","10.565","10.441","10.726","9.579","13,34B","1,18%"
"Jul 99","10.442","11.634","11.996","10.345","9,61B","-10,19%"
"Jun 99","11.627","11.090","12.118","10.742","11,81B","4,84%"
"Mai 99","11.090","11.351","12.589","10.563","11,51B","-2,30%"
"Abr 99","11.351","10.697","11.827","10.676","6,68B","6,12%"
"Mar 99","10.696","8.912","11.101","8.912","8,19B","20,03%"
"Fev 99","8.911","8.187","9.267","8.160","11,53B","9,06%"
"Jan 99","8.171","6.787","8.540","4.797","9,74B","20,45%"
"Dez 98","6.784","8.631","8.738","6.378","141,19B","-21,40%"
"Nov 98","8.631","7.047","9.128","7.047","159,98B","22,48%"
"Out 98","7.047","6.593","7.630","5.878","181,08B","6,89%"
"Set 98","6.593","6.472","7.453","4.576","246,80B","1,87%"
"Ago 98","6.472","10.705","10.705","6.454","208,66B","-39,55%"
"Jul 98","10.707","9.680","11.156","9.680","190,24B","10,63%"
"Jun 98","9.678","9.750","10.563","9.062","195,42B","-1,72%"
"Mai 98","9.847","11.719","11.789","8.971","175,22B","-15,67%"
"Abr 98","11.677","11.947","12.339","11.051","227,73B","-2,26%"
"Mar 98","11.947","10.572","12.112","10.572","193,70B","13,02%"
"Fev 98","10.571","9.913","10.626","9.716","129,46B","8,76%"
"Jan 98","9.720","10.197","10.655","8.441","145,29B","-4,68%"
"Dez 97","10.197","9.395","10.212","8.852","160,59B","8,54%"
"Nov 97","9.395","8.986","10.334","7.522","202,42B","4,55%"
"Out 97","8.986","11.797","13.037","8.456","214,77B","-23,83%"
"Set 97","11.797","10.609","12.020","9.921","138,66B","11,20%"
"Ago 97","10.609","12.872","12.872","10.518","137,39B","-17,58%"
"Jul 97","12.872","12.568","14.005","10.765","179,02B","2,42%"
"Jun 97","12.568","11.345","13.223","10.988","234,83B","10,78%"
"Mai 97","11.345","9.982","11.458","9.982","230,05B","13,65%"
"Abr 97","9.982","9.044","10.000","8.982","214,61B","10,37%"
"Mar 97","9.044","8.829","9.568","8.707","206,07B","2,44%"
"Fev 97","8.829","7.965","9.181","7.963","271,58B","10,85%"
"Jan 97","7.965","7.040","7.992","6.953","226,36B","13,14%"
"Dez 96","7.040","6.666","7.053","6.599","209,69B","5,61%"
"Nov 96","6.666","6.533","6.758","6.479","203,73B","2,03%"
"Out 96","6.533","6.447","6.852","6.317","225,97B","1,34%"
"Set 96","6.447","6.259","6.632","6.132","183,50B","3,00%"
"Ago 96","6.259","6.123","6.401","6.016","220,82B","2,22%"
"Jul 96","6.123","6.044","6.713","5.879","320,77B","1,31%"
"Jun 96","6.044","5.728","6.304","5.398","256,55B","5,52%"
"Mai 96","5.728","5.164","5.764","5.097","250,63B","10,92%"
"Abr 96","5.164","4.955","5.175","4.831","178,55B","4,22%"
"Mar 96","4.955","4.958","5.224","4.596","290,73B","-0,06%"
"Fev 96","4.958","5.152","5.411","4.940","235,54B","-3,76%"
"Jan 96","5.152","4.299","5.172","4.299","290,70B","19,83%"
"Dez 95","4.299","4.379","4.397","3.958","195,90B","-1,82%"
"Nov 95","4.379","4.128","4.391","3.714","198,83B","6,06%"
"Out 95","4.128","4.670","4.685","3.923","216,34B","-11,60%"
"Set 95","4.670","4.311","4.885","4.311","240,46B","8,34%"
"Ago 95","4.311","3.878","4.555","3.818","248,60B","11,17%"
"Jul 95","3.878","3.603","4.080","3.574","199,84B","7,61%"
"Jun 95","3.603","3.721","4.067","3.516","248,84B","-3,15%"
"Mai 95","3.721","3.814","4.185","3.689","234,26B","-2,44%"
"Abr 95","3.814","2.979","3.924","2.867","210,99B","28,02%"
"Mar 95","2.979","3.271","3.495","2.110","242,62B","-8,92%"
"Fev 95","3.271","3.885","4.067","2.762","179,37B","-15,81%"
"Jan 95","3.885","4.354","4.398","3.109","195,74B","-10,77%"
"Dez 94","4.354","4.656","5.023","3.991","213,19B","-6,49%"
"Nov 94","4.656","4.745","5.086","4.219","140,91B","-2,96%"
"Out 94","4.798","5.484","5.528","4.284","177,27B","-12,51%"
"Set 94","5.484","5.330","5.638","4.793","235,50B","2,90%"
"Ago 94","5.330","4.201","5.443","4.091","188,57B","26,85%"
"Jul 94","4.201","3.623","4.273","3.486","124,34B","15,96%"
"Jun 94","3.623","2.467","3.886","2.437","128,57B","46,85%"
"Mai 94","2.467","1.708","2.517","1.326","148,50B","44,42%"
"Abr 94","1.708","1.516","1.733","1.280","180,45B","12,72%"
"Mar 94","1.516","1.054","1.542","1.014","289,95B","43,81%"
"Fev 94","1.054","741","1.116","741","278,07B","42,31%"
"Jan 94","741","375","742","373","371,22B","97,25%"
"Dez 93","375","274","379","267","221,74B","37,01%"
"Nov 93","274","184","287","184","247,81B","48,64%"
"Out 93","184","147","207","147","341,69B","25,75%"
"Set 93","147","96","150","96","352,14B","52,04%"
"Ago 93","96","66","100","61","341,53B","47,04%"
"Jul 93","66","54","67","52","200,09B","22,01%"
"Jun 93","54","35","55","35","291,95B","54,06%"
"Mai 93","35","24","36","24","225,54B","44,89%"
"Abr 93","24","19","25","18","112,60B","25,55%"
"Mar 93","19","14","19","13","208,65B","36,61%"
"Fev 93","14","9","15","9","124,56B","51,13%"
"Jan 93","9","7","10","7","104,72B","37,02%"
"Dez 92","7","5","7","4","57,84B","48,36%"
"Nov 92","5","5","5","4","45,00B","0,00%"
"Out 92","5","4","5","4","49,10B","0,00%"
"Set 92","4","3","4","3","45,52B","36,09%"
"Ago 92","3","3","3","3","42,25B","22,01%"
"Jul 92","3","2","3","2","776,02B","33,33%"
"Jun 92","2","3","3","2","1.887,16B","-22,39%"
"Mai 92","3","2","3","2","2.488,59B","0,00%"
"Abr 92","2","2","2","2","685,88B","0,00%"
"Mar 92","2","1","2","2","294,83B","0,00%"
"Fev 92","1","1","1","1","482,06B","0,00%"
"Jan 92","1","1","1","1","1.056,20B","83,61%"
"Dez 91","1","0","1","0","108,24B","0,00%"
"Nov 91","0","0","0","0","31,57B","0,00%"
"Out 91","0","0","0","0","44,20B","0,00%"
"Set 91","0","0","0","0","40,39B","0,00%"
"Ago 91","0","0","0","0","69,68B","0,00%"
"Jul 91","0","0","0","0","46,75B","0,00%"
"Jun 91","0","0","0","0","63,32B","0,00%"
"Mai 91","0","0","0","0","43,01B","0,00%"
"Abr 91","0","0","0","0","21,37B","0,00%"
"Mar 91","0","0","0","0","31,22B","0,00%"
"Fev 91","0","0","0","0","48,17B","0,00%"
"Jan 91","0","0","0","0","33,20B","0,00%"
"Dez 90","0","0","0","0","12,46B","0,00%"
"Nov 90","0","0","0","0","16,31B","0,00%"
"Out 90","0","0","0","0","10,73B","0,00%"
"Set 90","0","0","0","0","14,51B","0,00%"
"Ago 90","0","0","0","0","29,48B","0,00%"
"Jul 90","0","0","0","0","29,89B","0,00%"
"Jun 90","0","0","0","0","14,67B","0,00%"
"Mai 90","0","0","0","0","12,58B","0,00%"
"Abr 90","0","0","0","0","7,86B","0,00%"
"Mar 90","0","0","0","0","8,84B","0,00%"
"Fev 90","0","0","0","0","15,88B","0,00%"
"Jan 90","0","0","0","0","15,85B","0,00%"
"Dez 89","0","0","0","0","19,89B","0,00%"
"Nov 89","0","0","0","0","13,77B","0,00%"
"Out 89","0","0","0","0","17,77B","0,00%"
"Set 89","0","0","0","0","13,29B","0,00%"
"Ago 89","0","0","0","0","12,47B","0,00%"
"Jul 89","0","0","0","0","11,79B","0,00%"
"Jun 89","0","0","0","0","9,65B","0,00%"
"Mai 89","0","0","0","0","9,67B","0,00%"
"Abr 89","0","0","0","0","7,93B","0,00%"
"Mar 89","0","0","0","0","4,20B","0,00%"
"Fev 89","0","0","0","0","2,76B","0,00%"
"Jan 89","0","0","0","0","2,34B","0,00%"
"Dez 88","0","0","0","0","3,03B","0,00%"
"Nov 88","0","0","0","0","2,67B","0,00%"
"Out 88","0","0","0","0","2,42B","0,00%"
"Set 88","0","0","0","0","2,57B","0,00%"
"Ago 88","0","0","0","0","2,30B","0,00%"
"Jul 88","0","0","0","0","1,79B","0,00%"
"Jun 88","0","0","0","0","2,26B","0,00%"
"Mai 88","0","0","0","0","1,98B","0,00%"
"Abr 88","0","0","0","0","1,93B","0,00%"
"Mar 88","0","0","0","0","1,79B","0,00%"
"Fev 88","0","0","0","0","1,37B","0,00%"
"Jan 88","0","0","0","0","973,07M","0,00%"
"Dez 87","0","0","0","0","804,28M","0,00%"
"Nov 87","0","0","0","0","716,42M","0,00%"
"Out 87","0","0","0","0","1,18B","0,00%"
"Set 87","0","0","0","0","908,08M","0,00%"
"Ago 87","0","0","0","0","1,05B","0,00%"
"Jul 87","0","0","0","0","968,94M","0,00%"
"Jun 87","0","0","0","0","903,21M","0,00%"
"Mai 87","0","0","0","0","411,75B","0,00%"
"Abr 87","0","0","0","0","459,55B","0,00%"
"Mar 87","0","0","0","0","241,55B","0,00%"
"Fev 87","0","0","0","0","379,06B","0,00%"
"Jan 87","0","0","0","0","257,83B","0,00%"
"Dez 86","0","0","0","0","295,90B","0,00%"
"Nov 86","0","0","0","0","302,57B","0,00%"
"Out 86","0","0","0","0","412,61B","0,00%"
"Set 86","0","0","0","0","338,25B","0,00%"
"Ago 86","0","0","0","0","354,57B","0,00%"
"Jul 86","0","0","0","0","366,85B","0,00%"
"Jun 86","0","0","0","0","332,56B","0,00%"
"Mai 86","0","0","0","0","304,31B","0,00%"
"Abr 86","0","0","0","0","421,36B","0,00%"
"Mar 86","0","0","0","0","352,56B","0,00%"
"Fev 86","0","0","0","0","157,43B","0,00%"
"Jan 86","0","0","0","0","137,78B","0,00%"
"Dez 85","0","0","0","0","120,32B","0,00%"
"Nov 85","0","0","0","0","161,83B","0,00%"
"Out 85","0","0","0","0","20,11B","0,00%"
"Set 85","0","0","0","0","7,58B","0,00%"
"Ago 85","0","0","0","0","9,71B","0,00%"
"Jul 85","0","0","0","0","11,72B","0,00%"
"Jun 85","0","0","0","0","10,40B","0,00%"
"Mai 85","0","0","0","0","11,05B","0,00%"
"Abr 85","0","0","0","0","11,17B","0,00%"
"Mar 85","0","0","0","0","10,35B","0,00%"
"Fev 85","0","0","0","0","10,09B","0,00%"
"Jan 85","0","0","0","0","11,94B","0,00%"